new_column_in_master,source_file,original_source_column
orders__subtotal,per-day aggregates,subtotal
orders__shipping,per-day aggregates,shipping
orders__taxes,per-day aggregates,taxes
orders__total,per-day aggregates,total
orders__discount_code,per-day aggregates,discount_code
orders__discount_amount,per-day aggregates,discount_amount
orders__lineitem_quantity,per-day aggregates,lineitem_quantity
orders__lineitem_price,per-day aggregates,lineitem_price
orders__lineitem_compare_at_price,per-day aggregates,lineitem_compare_at_price
orders__lineitem_requires_shipping,per-day aggregates,lineitem_requires_shipping
orders__lineitem_taxable,per-day aggregates,lineitem_taxable
orders__billing_company,per-day aggregates,billing_company
orders__billing_city,per-day aggregates,billing_city
orders__shipping_company,per-day aggregates,shipping_company
orders__refunded_amount,per-day aggregates,refunded_amount
orders__outstanding_balance,per-day aggregates,outstanding_balance
orders__id,per-day aggregates,id
orders__source,per-day aggregates,source
orders__lineitem_discount,per-day aggregates,lineitem_discount
orders__tax_1_value,per-day aggregates,tax_1_value
orders__tax_2_value,per-day aggregates,tax_2_value
orders__tax_3_value,per-day aggregates,tax_3_value
orders__tax_4_value,per-day aggregates,tax_4_value
orders__tax_5_value,per-day aggregates,tax_5_value
orders__row_count,per-day aggregates,row_count
adspend_day__amount_spent_usd,per-day aggregates,amount_spent_usd
adspend_day__unnamed_6,per-day aggregates,unnamed_6
adspend_day__row_count,per-day aggregates,row_count
sales_day__orders,per-day aggregates,orders
sales_day__gross_sales,per-day aggregates,gross_sales
sales_day__discounts,per-day aggregates,discounts
sales_day__returns,per-day aggregates,returns
sales_day__net_sales,per-day aggregates,net_sales
sales_day__shipping_charges,per-day aggregates,shipping_charges
sales_day__duties,per-day aggregates,duties
sales_day__additional_fees,per-day aggregates,additional_fees
sales_day__taxes,per-day aggregates,taxes
sales_day__total_sales,per-day aggregates,total_sales
sales_day__orders_previous_period,per-day aggregates,orders_previous_period
sales_day__gross_sales_previous_period,per-day aggregates,gross_sales_previous_period
sales_day__discounts_previous_period,per-day aggregates,discounts_previous_period
sales_day__returns_previous_period,per-day aggregates,returns_previous_period
sales_day__net_sales_previous_period,per-day aggregates,net_sales_previous_period
sales_day__shipping_charges_previous_period,per-day aggregates,shipping_charges_previous_period
sales_day__duties_previous_period,per-day aggregates,duties_previous_period
sales_day__additional_fees_previous_period,per-day aggregates,additional_fees_previous_period
sales_day__taxes_previous_period,per-day aggregates,taxes_previous_period
sales_day__total_sales_previous_period,per-day aggregates,total_sales_previous_period
sales_day__row_count,per-day aggregates,row_count
views_day__primary,per-day aggregates,primary
views_day__row_count,per-day aggregates,row_count
engagement_day__post_id,per-day aggregates,post_id
engagement_day__account_id,per-day aggregates,account_id
engagement_day__duration_sec,per-day aggregates,duration_sec
engagement_day__views,per-day aggregates,views
engagement_day__reach,per-day aggregates,reach
engagement_day__likes,per-day aggregates,likes
engagement_day__shares,per-day aggregates,shares
engagement_day__follows,per-day aggregates,follows
engagement_day__comments,per-day aggregates,comments
engagement_day__saves,per-day aggregates,saves
engagement_day__unnamed_19,per-day aggregates,unnamed_19
engagement_day__row_count,per-day aggregates,row_count
