date,revenue,ad_spend,orders,views,engagement_day__reach,engagement_day__likes,engagement_day__comments,engagement_day__shares,engagement_day__follows,engagement_day__saves,roas,aov
2025-06-21,,,,,,,,,,,,
2025-06-23,,2.87,,,,,,,,,,
2025-06-24,,,,,,,,,,,,
2025-06-25,,,,,,,,,,,,
2025-06-26,192.0,20.6,2.0,2894.0,,,,,,,9.320388349514563,96.0
2025-06-27,0.0,84.19,0.0,6407.0,,,,,,,0.0,
2025-06-28,0.0,19.79,0.0,2206.0,,,,,,,0.0,
2025-06-29,125.8,22.82,2.0,3687.0,10529.0,238.0,12.0,29.0,25.0,19.0,5.5127081507449605,62.9
2025-06-30,68.0,25.07,1.0,5086.0,189760.0,3506.0,15.0,663.0,727.0,278.0,2.7124052652572797,68.0
2025-07-01,251.6,38.71,4.0,8076.0,213576.0,4828.0,151.0,427.0,884.0,255.0,6.499612503229139,62.9
2025-07-02,190.4,76.59,3.0,15364.0,2071.0,86.0,14.0,1.0,5.0,8.0,2.48596422509466,63.46666666666667
2025-07-03,1260.0,119.31,14.0,20910.0,19276.0,661.0,82.0,45.0,54.0,45.0,10.56072416394267,90.0
2025-07-04,590.4,128.69,8.0,25148.0,13939.0,546.0,82.0,21.0,97.0,43.0,4.587769057424819,73.8
2025-07-05,464.0,53.17,5.0,16734.0,3762.0,148.0,4.0,7.0,15.0,13.0,8.726725597141245,92.8
2025-07-06,1857.6,148.7,22.0,51144.0,159085.0,7351.0,200.0,463.0,1550.0,874.0,12.49226630800269,84.43636363636364
2025-07-07,1504.8,132.64,19.0,61235.0,216590.0,6084.0,139.0,1027.0,943.0,445.0,11.344993968636913,79.2
2025-07-08,1166.5,,15.0,54592.0,473598.0,17654.0,365.0,1131.0,3629.0,2176.0,,77.76666666666667
2025-07-09,3072.8,178.87,37.0,141097.0,304040.0,8730.0,194.0,805.0,1763.0,649.0,17.178956784256723,83.04864864864865
2025-07-10,4805.54,310.09,56.0,130236.0,244402.0,6743.0,330.0,1567.0,798.0,1044.0,15.497242735979878,85.81321428571428
2025-07-11,6865.35,426.49,76.0,137406.0,63309.0,1739.0,67.0,149.0,224.0,156.0,16.09732936293934,90.33355263157895
2025-07-12,4810.72,433.26,59.0,143284.0,130534.0,3792.0,144.0,344.0,453.0,250.0,11.103540599178324,81.53762711864407
2025-07-13,4787.27,550.31,49.0,167043.0,172305.0,5512.0,138.0,276.0,689.0,284.0,8.699224073703913,97.69938775510205
2025-07-14,3498.41,475.44,42.0,128261.0,32247.0,1462.0,72.0,82.0,77.0,86.0,7.358257613999664,83.2954761904762
2025-07-15,4842.46,544.27,56.0,127884.0,50858.0,1385.0,39.0,61.0,106.0,86.0,8.897165010013413,86.4725
2025-07-16,4243.91,513.47,47.0,128319.0,185494.0,4267.0,154.0,439.0,561.0,240.0,8.265156679065962,90.2959574468085
2025-07-17,4354.51,555.84,49.0,144685.0,26244.0,992.0,53.0,44.0,73.0,87.0,7.834106937248129,88.86755102040817
2025-07-18,6223.03,740.74,80.0,162081.0,178574.0,4782.0,366.0,364.0,396.0,502.0,8.401098901098901,77.787875
2025-07-19,6186.8,699.14,68.0,140841.0,14496.0,655.0,27.0,11.0,23.0,49.0,8.849157536401865,90.98235294117647
2025-07-20,6817.98,839.13,77.0,155505.0,15062.0,637.0,49.0,33.0,31.0,56.0,8.125058095885024,88.5451948051948
2025-07-21,6260.41,893.81,70.0,164539.0,13079.0,520.0,51.0,20.0,48.0,56.0,7.0041843344782455,89.43442857142857
2025-07-22,5103.55,787.53,57.0,189075.0,548715.0,43697.0,392.0,3391.0,1324.0,3060.0,6.480451538354095,89.5359649122807
2025-07-23,5496.45,745.87,60.0,338080.0,15712.0,662.0,23.0,22.0,34.0,52.0,7.369179615750734,91.6075
2025-07-24,6717.69,829.18,80.0,269450.0,22898.0,930.0,34.0,27.0,40.0,77.0,8.101606406329145,83.971125
2025-07-25,8942.37,915.62,95.0,224133.0,53502.0,1932.0,44.0,106.0,229.0,121.0,9.766464253729714,94.13021052631579
2025-07-26,6092.07,891.2,64.0,176871.0,5218.0,126.0,15.0,6.0,3.0,15.0,6.835805655296229,95.18859375
2025-07-27,5511.3,984.58,64.0,184464.0,94693.0,6140.0,92.0,429.0,533.0,686.0,5.597615226797213,86.1140625
2025-07-28,5458.25,976.32,62.0,175187.0,16031.0,396.0,29.0,43.0,21.0,46.0,5.590636266797771,88.03629032258064
2025-07-29,4716.89,915.16,57.0,165940.0,37277.0,1514.0,66.0,59.0,57.0,153.0,5.154169762664453,82.75245614035089
2025-07-30,5531.63,966.41,66.0,173761.0,32379.0,785.0,47.0,63.0,45.0,70.0,5.723895655053239,83.81257575757576
2025-07-31,4474.57,894.95,50.0,134297.0,8699.0,364.0,33.0,8.0,19.0,20.0,4.999798871445331,89.4914
2025-08-01,6443.93,1000.77,72.0,182750.0,,,,,,,6.438971991566494,89.49902777777778
2025-08-02,5387.37,1029.93,63.0,155038.0,,,,,,,5.230811802743875,85.51380952380953
2025-08-03,4892.39,1047.34,60.0,178167.0,9798.0,382.0,21.0,63.0,13.0,33.0,4.671252888269331,81.53983333333333
2025-08-04,5280.47,969.74,67.0,151959.0,,,,,,,5.445243054839442,78.81298507462687
2025-08-05,4004.33,968.7,46.0,183198.0,8891.0,323.0,30.0,10.0,4.0,30.0,4.133715288531021,87.05065217391304
2025-08-06,4317.38,868.24,50.0,128904.0,,,,,,,4.972565189348567,86.3476
2025-08-07,4312.41,865.12,49.0,133278.0,,,,,,,4.984753560199741,88.00836734693877
2025-08-08,4329.2,855.01,49.0,143287.0,,,,,,,5.063332592601256,88.35102040816327
2025-08-09,4083.46,866.72,48.0,159830.0,9531.0,476.0,92.0,17.0,4.0,33.0,4.711394683404098,85.07208333333334
2025-08-10,3947.07,909.83,44.0,140740.0,,,,,,,4.338250002747766,89.70613636363636
2025-08-11,3712.0,887.69,40.0,132867.0,,,,,,,4.181639986932375,92.8
2025-08-12,3404.85,828.73,38.0,140712.0,27079.0,1073.0,38.0,26.0,19.0,48.0,4.108515439286619,89.60131578947369
2025-08-13,3893.73,855.98,45.0,175600.0,61298.0,1783.0,92.0,97.0,89.0,119.0,4.548856281688824,86.52733333333333
2025-08-14,3249.95,823.9,40.0,126336.0,,,,,,,3.944592790387183,81.24875
2025-08-15,3103.0,763.74,36.0,101945.0,8564.0,339.0,9.0,26.0,9.0,22.0,4.062900987246969,86.19444444444444
2025-08-16,4379.01,812.62,54.0,250397.0,289467.0,13531.0,302.0,908.0,1024.0,1629.0,5.3887548915852435,81.09277777777778
2025-08-17,6233.3,947.88,76.0,342720.0,192669.0,6519.0,203.0,229.0,352.0,393.0,6.576043381018694,82.0171052631579
2025-08-18,4481.97,884.37,48.0,285554.0,72830.0,3115.0,181.0,79.0,115.0,197.0,5.067980596356729,93.374375
2025-08-19,4691.82,854.03,57.0,308880.0,109035.0,9667.0,105.0,232.0,216.0,471.0,5.493741437654415,82.31263157894736
2025-08-20,5085.94,910.09,59.0,322060.0,94726.0,3890.0,142.0,149.0,189.0,225.0,5.588392356799877,86.20237288135593
2025-08-21,4217.12,862.82,52.0,274606.0,67868.0,2517.0,84.0,85.0,168.0,172.0,4.887601121902598,81.09846153846154
2025-08-22,4354.91,837.05,51.0,237126.0,73650.0,2202.0,73.0,103.0,228.0,182.0,5.202688011468849,85.39039215686275
2025-08-23,4718.32,832.85,59.0,230401.0,13687.0,435.0,58.0,50.0,14.0,46.0,5.66526985651678,79.9715254237288
2025-08-24,5163.48,996.76,61.0,198245.0,27177.0,457.0,50.0,34.0,30.0,52.0,5.180264055539949,84.6472131147541
2025-08-25,3852.15,884.33,46.0,151365.0,30661.0,997.0,112.0,36.0,32.0,76.0,4.356009634412493,83.74239130434783
2025-08-26,3320.33,847.09,40.0,146949.0,,,,,,,3.919689761418503,83.00825
2025-08-27,2682.42,899.94,30.0,158035.0,,,,,,,2.980665377691846,89.414
2025-08-28,3203.95,871.01,42.0,152383.0,,,,,,,3.678430787246989,76.2845238095238
2025-08-29,4519.84,855.5,53.0,152603.0,13284.0,165.0,4.0,15.0,30.0,16.0,5.283272939801286,85.28
2025-08-30,3984.99,875.24,49.0,163130.0,14752.0,389.0,7.0,17.0,84.0,45.0,4.55302545587496,81.32632653061223
2025-08-31,3543.22,1030.91,42.0,183247.0,,,,,,,3.436982859803474,84.36238095238095
2025-09-01,4596.25,944.56,50.0,161376.0,,,,,,,4.866022274921657,91.925
2025-09-02,4297.61,907.1,48.0,136184.0,,,,,,,4.737746665196781,89.53354166666666
2025-09-03,2274.04,901.22,27.0,159641.0,18053.0,665.0,25.0,37.0,36.0,52.0,2.5232906504516097,84.2237037037037
2025-09-04,2430.04,896.95,26.0,179153.0,67898.0,2457.0,49.0,106.0,91.0,159.0,2.709225709348347,93.46307692307693
2025-09-05,2922.03,936.57,32.0,171631.0,17889.0,654.0,39.0,23.0,7.0,44.0,3.1199269675518115,91.3134375
2025-09-06,4143.13,1023.39,43.0,230797.0,214394.0,7582.0,96.0,347.0,669.0,694.0,4.048437057231359,96.35186046511627
2025-09-07,4078.8,706.03,46.0,204408.0,101288.0,3813.0,84.0,147.0,148.0,245.0,5.777091625001771,88.66956521739131
2025-09-08,2739.04,1096.87,28.0,284431.0,82401.0,2537.0,39.0,100.0,190.0,190.0,2.4971418673133554,97.82285714285715
2025-09-09,3408.15,972.48,43.0,237651.0,66299.0,2004.0,60.0,190.0,88.0,119.0,3.5045964955577493,79.2593023255814
2025-09-10,2002.65,310.83,25.0,182463.0,100564.0,3464.0,98.0,125.0,107.0,215.0,6.442910915934756,80.10600000000001
2025-09-11,3960.2,389.73,44.0,165081.0,62428.0,2360.0,275.0,85.0,114.0,123.0,10.161393785441202,90.00454545454545
2025-09-12,2029.67,1455.94,25.0,284969.0,26110.0,755.0,59.0,50.0,32.0,67.0,1.3940615684712283,81.1868
2025-09-13,3170.76,1043.05,43.0,196014.0,,,,,,,3.039892622597191,73.7386046511628
2025-09-14,3574.15,866.93,44.0,215522.0,34507.0,1210.0,31.0,105.0,55.0,75.0,4.122766544011627,81.23068181818182
2025-09-15,2863.31,735.15,31.0,191925.0,39007.0,1472.0,86.0,98.0,69.0,96.0,3.8948649935387336,92.36483870967741
2025-09-16,2182.77,515.93,23.0,145570.0,7985.0,226.0,26.0,3.0,14.0,19.0,4.2307483573352975,94.90304347826087
2025-09-17,3391.63,615.43,37.0,129105.0,,,,,,,5.51099231431682,91.66567567567567
2025-09-18,2169.31,661.75,27.0,118171.0,13072.0,627.0,42.0,3.0,23.0,34.0,3.2781412920287116,80.34481481481481
2025-09-19,2021.02,623.38,22.0,121878.0,12861.0,633.0,29.0,4.0,21.0,51.0,3.2420353556418235,91.86454545454545
2025-09-20,3158.65,605.25,32.0,136357.0,,,,,,,5.218752581577861,98.7078125
2025-09-21,3763.47,637.97,42.0,163014.0,32227.0,1255.0,73.0,86.0,51.0,55.0,5.899133188080944,89.60642857142857
2025-09-22,3233.34,551.15,35.0,166541.0,64966.0,2806.0,80.0,322.0,132.0,258.0,5.866533611539508,92.38114285714286
2025-09-23,2016.65,519.23,23.0,167765.0,16856.0,660.0,50.0,22.0,33.0,52.0,3.8839242724804035,87.6804347826087
2025-09-24,1341.89,284.09,17.0,,,,,,,,4.723467915097329,78.93470588235294
