date,orders__subtotal,orders__shipping,orders__taxes,orders__total,orders__discount_code,orders__discount_amount,orders__lineitem_quantity,orders__lineitem_price,orders__lineitem_compare_at_price,orders__lineitem_requires_shipping,orders__lineitem_taxable,orders__billing_company,orders__billing_city,orders__shipping_company,orders__refunded_amount,orders__outstanding_balance,orders__id,orders__source,orders__lineitem_discount,orders__tax_1_value,orders__tax_2_value,orders__tax_3_value,orders__tax_4_value,orders__tax_5_value,orders__row_count,adspend_day__amount_spent_usd,adspend_day__unnamed_6,adspend_day__row_count,sales_day__orders,sales_day__gross_sales,sales_day__discounts,sales_day__returns,sales_day__net_sales,sales_day__shipping_charges,sales_day__duties,sales_day__additional_fees,sales_day__taxes,sales_day__total_sales,sales_day__orders_previous_period,sales_day__gross_sales_previous_period,sales_day__discounts_previous_period,sales_day__returns_previous_period,sales_day__net_sales_previous_period,sales_day__shipping_charges_previous_period,sales_day__duties_previous_period,sales_day__additional_fees_previous_period,sales_day__taxes_previous_period,sales_day__total_sales_previous_period,sales_day__row_count,views_day__primary,views_day__row_count,engagement_day__post_id,engagement_day__account_id,engagement_day__duration_sec,engagement_day__views,engagement_day__reach,engagement_day__likes,engagement_day__shares,engagement_day__follows,engagement_day__comments,engagement_day__saves,engagement_day__unnamed_19,engagement_day__row_count
2025-06-21,0.5,4.9,0.0,0.5,123.0,4.9,1.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6425136955622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-23,619.2,0.0,0.0,619.2,0.0,24.8,7.0,644.0,476.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,45002605495882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.87,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-24,240.8,0.0,0.0,240.8,0.0,19.2,3.0,260.0,204.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,19289773802162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-25,197.2,9.9,0.0,207.10000000000002,0.0,6.8,2.0,136.0,136.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12863514902988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-26,192.0,19.8,0.0,211.8,0.0,0.0,2.0,192.0,136.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12866181267916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20.6,0.0,1.0,2.0,192.0,0.0,0.0,192.0,19.8,0.0,0.0,0.0,211.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2894.0,1.0,,,,,,,,,,,,
2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,84.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6407.0,1.0,,,,,,,,,,,,
2025-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,19.79,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2206.0,1.0,,,,,,,,,,,,
2025-06-29,125.8,0.0,0.0,125.8,0.0,10.2,2.0,136.0,136.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12873821028812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.82,0.0,1.0,2.0,136.0,-10.2,0.0,125.8,0.0,0.0,0.0,0.0,125.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3687.0,1.0,1.830902542621227e+16,1.7841472782106936e+16,8.0,19052.0,10529.0,238.0,29.0,25.0,12.0,19.0,0.0,1.0
2025-06-30,68.0,0.0,0.0,68.0,0.0,0.0,1.0,68.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6438320996582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.07,0.0,1.0,1.0,68.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5086.0,1.0,1.8071890531789704e+16,1.7841472782106936e+16,8.0,300899.0,189760.0,3506.0,663.0,727.0,15.0,278.0,0.0,1.0
2025-07-01,251.60000000000002,0.0,0.0,251.60000000000002,0.0,20.4,4.0,272.0,272.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25758499898264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.71,0.0,1.0,4.0,272.0,-20.4,0.0,251.6,0.0,0.0,0.0,0.0,251.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8076.0,1.0,3.5840693592233372e+16,3.568294556421387e+16,29.0,378472.0,213576.0,4828.0,427.0,884.0,151.0,255.0,0.0,2.0
