ad_name,ad_id,cost,impressions,clicks_destination,ctr_destination,purchases_website,purchase_value_website,purchase_roas_app,payment_completion_roas_website,checkouts_initiated_website,adds_to_cart_website,video_views,video_views_at_50,video_views_at_100,2second_video_views,6second_video_views,currency
Ad name2025-09-01 16:44:11,1.8421E+15,835.58,311734,5099,1.64,24,2307.8,0,2.76,118,120,305370,15169,5127,73725,18463,USD
Ad name2025-09-01 16:45:33,1.8421E+15,802.23,237966,4026,1.69,27,2336.4,0,2.91,198,203,235242,18066,6698,55470,24262,USD
Ad name2025-09-01 16:45:33,1.84293E+15,781.52,178489,2656,1.49,29,2732.0,0,3.5,105,125,172170,9512,3627,33432,13035,USD
Ad name2025-09-01 16:44:11,1.84293E+15,633.56,180710,2565,1.42,15,1249.7,0,1.97,62,59,176038,5674,1933,38607,7084,USD
Ad name2025-09-01 16:45:33,1.8421E+15,277.95,86850,1361,1.57,6,496.2,0,1.79,45,42,85537,5794,1915,20554,6575,USD
Copy 2 of Ad name2025-09-01 16:44:11,1.84293E+15,267.85,65310,982,1.5,6,444.8,0,1.66,36,35,62571,2770,1139,11509,3428,USD
Copy 1 of Ad name2025-09-01 16:44:11,1.84293E+15,254.43,63852,966,1.51,4,197.88,0,0.78,36,32,61963,3487,1292,14297,5332,USD
Ad name2025-09-01 16:45:33,1.84293E+15,193.26,48911,634,1.3,2,172.8,0,0.89,8,12,47335,2439,776,9960,2786,USD
Copy 1 of Ad name2025-09-01 16:44:11,1.84293E+15,180.51,49878,731,1.47,6,500.8,0,2.77,42,42,49334,3688,1348,12852,5436,USD
Copy 2 of Ad name2025-09-01 16:44:11,1.84293E+15,168.48,47244,749,1.59,4,258.4,0,1.53,13,37,46517,2527,977,9426,3072,USD
Total of 10 results,-,4395.37,1270944,19769,1.56,123,10696.78,0,2.43,663,707,1242077,69126,24832,279832,89473,USD
