date,orders__subtotal,orders__shipping,orders__taxes,orders__total,orders__discount_code,orders__discount_amount,orders__lineitem_quantity,orders__lineitem_price,orders__lineitem_compare_at_price,orders__lineitem_requires_shipping,orders__lineitem_taxable,orders__billing_company,orders__billing_city,orders__shipping_company,orders__refunded_amount,orders__outstanding_balance,orders__id,orders__source,orders__lineitem_discount,orders__tax_1_value,orders__tax_2_value,orders__tax_3_value,orders__tax_4_value,orders__tax_5_value,orders__row_count
2025-06-21,0.5,4.9,0.0,0.5,123.0,4.9,1,0.5,0.0,1,1,0.0,0.0,0.0,0.0,0.0,6425136955622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-06-23,619.2,0.0,0.0,619.2,0.0,24.8,7,644.0,476.0,7,7,0.0,0.0,0.0,0.0,0.0,45002605495882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2025-06-24,240.8,0.0,0.0,240.8,0.0,19.2,3,260.0,204.0,3,3,0.0,0.0,0.0,0.0,0.0,19289773802162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2025-06-25,197.2,9.9,0.0,207.10000000000002,0.0,6.8,2,136.0,136.0,2,2,0.0,0.0,0.0,0.0,0.0,12863514902988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-06-26,192.0,19.8,0.0,211.8,0.0,0.0,2,192.0,136.0,2,2,0.0,0.0,0.0,0.0,0.0,12866181267916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-06-29,125.8,0.0,0.0,125.8,0.0,10.2,2,136.0,136.0,2,0,0.0,0.0,0.0,0.0,0.0,12873821028812.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2025-06-30,68.0,0.0,0.0,68.0,0.0,0.0,1,68.0,68.0,1,0,0.0,0.0,0.0,0.0,0.0,6438320996582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2025-07-01,251.60000000000002,0.0,0.0,251.60000000000002,0.0,20.4,4,272.0,272.0,4,0,0.0,0.0,0.0,0.0,0.0,25758499898264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2025-07-02,190.4,0.0,0.0,190.4,0.0,13.6,3,204.0,204.0,3,0,0.0,0.0,0.0,0.0,0.0,19324140585650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2025-07-03,1260.0,0.0,0.0,1260.0,0.0,96.0,14,1288.0,1156.0,14,0,0.0,0.0,0.0,0.0,0.0,90192673836180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2025-07-04,590.4,0.0,0.0,590.4,0.0,65.6,8,656.0,680.0,8,0,0.0,0.0,0.0,0.0,0.0,51549700458288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2025-07-05,464.0,0.0,9.22,473.21999999999997,0.0,44.0,5,508.0,544.0,5,0,0.0,0.0,0.0,0.0,0.0,32224977454206.0,3890849.0,0.0,6.7,0.56,1.12,0.56,0.28,5
2025-07-06,1857.6,0.0,0.0,1857.6,0.0,98.4,22,1888.0,1972.0,22,0,0.0,0.0,0.0,0.0,0.0,141820311999428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
2025-07-07,1504.8,0.0,0.0,1504.8,0.0,123.2,19,1628.0,1700.0,19,0,0.0,0.0,0.0,0.0,0.0,122501034676498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
