day,amount_spent_usd,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7
2025-09-12,1455.94,Friday,,,Average:,691.0520879,
2025-09-08,1096.87,Monday,,,Min Spend:,2.87,
2025-08-03,1047.34,Sunday,,,Max Spend:,1455.94,
2025-09-13,1043.05,Saturday,,,,,
2025-08-31,1030.91,Sunday,,,,,
2025-08-02,1029.93,Saturday,,,,,
2025-09-06,1023.39,Saturday,,,,,
2025-08-01,1000.77,Friday,,,,,
2025-08-24,996.76,Sunday,,,,,
2025-07-27,984.58,Sunday,,,,,
2025-07-28,976.32,Monday,,,,,
2025-09-09,972.48,Tuesday,,,,,
2025-08-04,969.74,Monday,,,,,
2025-08-05,968.7,Tuesday,,,,,
2025-07-30,966.41,Wednesday,,,,,
2025-08-17,947.88,Sunday,,,,,
2025-09-01,944.56,Monday,,,,,
2025-09-05,936.57,Friday,,,,,
2025-07-25,915.62,Friday,,,,,
2025-07-29,915.16,Tuesday,,,,,
2025-08-20,910.09,Wednesday,,,,,
2025-08-10,909.83,Sunday,,,,,
2025-09-02,907.1,Tuesday,,,,,
2025-09-03,901.22,Wednesday,,,,,
2025-08-27,899.94,Wednesday,,,,,
2025-09-04,896.95,Thursday,,,,,
2025-07-31,894.95,Thursday,,,,,
2025-07-21,893.81,Monday,,,,,
2025-07-26,891.2,Saturday,,,,,
2025-08-11,887.69,Monday,,,,,
2025-08-18,884.37,Monday,,,,,
2025-08-25,884.33,Monday,,,,,
2025-08-30,875.24,Saturday,,,,,
2025-08-28,871.01,Thursday,,,,,
2025-08-06,868.24,Wednesday,,,,,
2025-09-14,866.93,Sunday,,,,,
2025-08-09,866.72,Saturday,,,,,
2025-08-07,865.12,Thursday,,,,,
2025-08-21,862.82,Thursday,,,,,
2025-08-13,855.98,Wednesday,,,,,
2025-08-29,855.5,Friday,,,,,
2025-08-08,855.01,Friday,,,,,
2025-08-19,854.03,Tuesday,,,,,
2025-08-26,847.09,Tuesday,,,,,
2025-07-20,839.13,Sunday,,,,,
2025-08-22,837.05,Friday,,,,,
2025-08-23,832.85,Saturday,,,,,
2025-07-24,829.18,Thursday,,,,,
2025-08-12,828.73,Tuesday,,,,,
2025-08-14,823.9,Thursday,,,,,
2025-08-16,812.62,Saturday,,,,,
2025-07-22,787.53,Tuesday,,,,,
2025-08-15,763.74,Friday,,,,,
2025-07-23,745.87,Wednesday,,,,,
2025-07-18,740.74,Friday,,,,,
2025-09-15,735.15,Monday,,,,,
2025-09-07,706.03,Sunday,,,,,
2025-07-19,699.14,Saturday,,,,,
2025-09-18,661.75,Thursday,,,,,
2025-09-21,637.97,Sunday,,,,,
2025-09-19,623.38,Friday,,,,,
2025-09-17,615.43,Wednesday,,,,,
2025-09-20,605.25,Saturday,,,,,
2025-07-17,555.84,Thursday,,,,,
2025-09-22,551.15,Monday,,,,,
2025-07-13,550.31,Sunday,,,,,
2025-07-15,544.27,Tuesday,,,,,
2025-09-23,519.23,Tuesday,,,,,
2025-09-16,515.93,Tuesday,,,,,
2025-07-16,513.47,Wednesday,,,,,
2025-07-14,475.44,Monday,,,,,
2025-07-12,433.26,Saturday,,,,,
2025-07-11,426.49,Friday,,,,,
2025-09-11,389.73,Thursday,,,,,
2025-09-10,310.83,Wednesday,,,,,
2025-07-10,310.09,Thursday,,,,,
2025-09-24,284.09,Wednesday,,,,,
2025-07-09,178.87,Wednesday,,,,,
2025-07-06,148.7,Sunday,,,,,
2025-07-07,132.64,Monday,,,,,
2025-07-04,128.69,Friday,,,,,
2025-07-03,119.31,Thursday,,,,,
2025-06-27,84.19,Friday,,,,,
2025-07-02,76.59,Wednesday,,,,,
2025-07-05,53.17,Saturday,,,,,
2025-07-01,38.71,Tuesday,,,,,
2025-06-30,25.07,Monday,,,,,
2025-06-29,22.82,Sunday,,,,,
2025-06-26,20.6,Thursday,,,,,
2025-06-28,19.79,Saturday,,,,,
2025-06-23,2.87,Monday,,,,,
