date,sales_day__orders,sales_day__gross_sales,sales_day__discounts,sales_day__returns,sales_day__net_sales,sales_day__shipping_charges,sales_day__duties,sales_day__additional_fees,sales_day__taxes,sales_day__total_sales,sales_day__orders_previous_period,sales_day__gross_sales_previous_period,sales_day__discounts_previous_period,sales_day__returns_previous_period,sales_day__net_sales_previous_period,sales_day__shipping_charges_previous_period,sales_day__duties_previous_period,sales_day__additional_fees_previous_period,sales_day__taxes_previous_period,sales_day__total_sales_previous_period,sales_day__row_count
2025-06-26,2,192.0,0.0,0.0,192.0,19.8,0,0,0.0,211.8,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-06-27,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-06-28,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-06-29,2,136.0,-10.2,0.0,125.8,0.0,0,0,0.0,125.8,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-06-30,1,68.0,0.0,0.0,68.0,0.0,0,0,0.0,68.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-01,4,272.0,-20.4,0.0,251.6,0.0,0,0,0.0,251.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-02,3,204.0,-13.6,0.0,190.4,0.0,0,0,0.0,190.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-03,14,1356.0,-96.0,0.0,1260.0,0.0,0,0,0.0,1260.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-04,8,656.0,-65.6,0.0,590.4,0.0,0,0,0.0,590.4,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-05,5,508.0,-44.0,0.0,464.0,0.0,0,0,9.22,473.22,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-06,22,1956.0,-98.4,0.0,1857.6,0.0,0,0,0.0,1857.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-07,19,1628.0,-123.2,0.0,1504.8,0.0,0,0,0.0,1504.8,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-08,15,1244.5,-78.0,0.0,1166.5,0.0,0,0,0.0,1166.5,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-09,37,3368.0,-234.0,-61.2,3072.8,0.0,0,0,6.46,3079.26,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-10,56,5088.47,-282.93,0.0,4805.54,435.04,0,0,10.42,5251.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-11,76,7228.02,-362.67,0.0,6865.35,736.38,0,0,7.58,7609.31,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-12,59,5069.18,-258.46,0.0,4810.72,228.12,0,0,4.83,5043.67,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-13,49,5030.43,-243.16,0.0,4787.27,431.11,0,0,6.63,5225.01,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-14,42,3782.87,-284.46,0.0,3498.41,118.55,0,0,13.47,3630.43,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-15,56,5081.59,-239.13,0.0,4842.46,167.53,0,0,6.34,5016.33,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-16,47,4425.91,-182.0,0.0,4243.91,119.48,0,0,13.77,4377.16,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-17,49,4554.14,-199.63,0.0,4354.51,163.35,0,0,12.24,4530.1,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-18,80,7176.91,-842.28,-111.6,6223.03,171.94,0,0,36.33,6431.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-19,68,6672.11,-485.31,0.0,6186.8,243.71,0,0,24.94,6455.45,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-20,77,7258.12,-378.94,-61.2,6817.98,287.41,0,0,22.91,7128.3,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-21,70,6907.65,-405.4,-241.84,6260.41,196.69,0,0,7.82,6464.92,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-22,57,5403.55,-300.0,0.0,5103.55,98.85,0,0,22.8,5225.2,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-23,60,6005.61,-405.16,-104.0,5496.45,380.74,0,0,13.68,5890.87,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-24,80,7355.77,-526.48,-111.6,6717.69,247.67,0,0,18.54,6983.9,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-25,95,9617.56,-675.19,0.0,8942.37,203.9,0,0,16.11,9162.38,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-26,64,6466.41,-374.34,0.0,6092.07,225.52,0,0,13.01,6330.6,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-27,64,5837.03,-325.73,0.0,5511.3,207.71,0,0,42.04,5761.05,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-28,62,5869.24,-226.79,-184.2,5458.25,397.38,0,0,0.0,5855.63,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-29,57,4969.45,-252.56,0.0,4716.89,300.39,0,0,13.64,5030.92,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-30,66,6026.54,-494.91,0.0,5531.63,197.68,0,0,31.54,5760.85,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-07-31,50,4674.98,-200.41,0.0,4474.57,159.98,0,0,7.31,4641.86,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-01,72,6892.93,-449.0,0.0,6443.93,207.01,0,0,11.48,6662.42,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-02,63,5650.57,-263.2,0.0,5387.37,178.12,0,0,10.54,5576.03,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-03,60,5362.75,-470.36,0.0,4892.39,116.18,0,0,13.41,5021.98,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-04,67,5717.27,-436.8,0.0,5280.47,144.51,0,0,18.02,5443.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-05,46,4255.29,-250.96,0.0,4004.33,177.78,0,0,16.31,4198.42,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-06,50,4561.91,-244.53,0.0,4317.38,131.03,0,0,10.78,4459.19,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-07,49,4549.8,-237.39,0.0,4312.41,113.33,0,0,15.69,4441.43,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-08,49,4609.0,-279.8,0.0,4329.2,197.62,0,0,15.98,4542.8,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-09,48,4356.86,-273.4,0.0,4083.46,176.28,0,0,7.44,4267.18,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-10,44,4195.52,-248.45,0.0,3947.07,176.44,0,0,14.68,4138.19,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-11,40,3871.8,-159.8,0.0,3712.0,163.77,0,0,24.84,3900.61,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-12,38,6144.51,-358.0,-2381.66,3404.85,150.03,0,0,0.0,3554.88,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-13,45,4266.84,-187.91,-185.2,3893.73,167.43,0,0,16.76,4077.92,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-14,40,3488.69,-176.6,-62.14,3249.95,69.16,0,0,7.44,3326.55,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-15,36,3259.6,-156.6,0.0,3103.0,82.18,0,0,12.1,3197.28,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
2025-08-16,54,5352.4,-905.39,-68.0,4379.01,170.86,0,0,6.26,4556.13,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1
